Year,Green Color in Buds,Florets Visible,Extension of Florets,Peduncle Elongation,Puffy White,Peak Bloom
2017,2/24,3/1,3/6,3/8,3/22,3/25
2016,3/8,3/13,3/15,3/17,3/22,3/25
2015,3/18,4/1,4/4,4/6,4/8,4/10
2014,3/16,3/23,3/31,4/4,4/7,4/10
2013,3/11,3/17,3/26,3/31,4/4,4/9
2012,2/1,3/8,3/12,3/14,3/15,3/20
2011,2/28,3/9,3/16,3/19,3/22,3/29
2010,3/14,3/19,3/21,3/23,3/26,3/31
2009,3/8,3/12,3/18,3/23,3/27,4/1
2008,2/19,3/11,3/17,3/19,3/24,3/29
2007,3/5,3/20,3/25,3/27,3/28,4/1
2006,2/28,3/13,3/14,3/16,3/22,3/30
2005,3/7,3/22,3/31,4/3,4/4,4/9
2004,3/4,3/12,3/15,3/22,3/27,3/31
2003,3/17,3/23,3/25,3/27,3/29,4/2
2002,3/7,3/14,3/18,3/20,3/27,4/2
2001,2/26,3/11,3/20,3/25,3/30,4/6
2000,2/1,3/8,3/9,3/10,3/14,3/17
1999,3/16,3/22,3/26,3/30,4/1,4/5
1998,2/13,3/1,3/8,3/10,3/23,3/27
1997,2/21,3/2,3/10,3/13,3/20,3/26
1996,2/1,3/15,3/18,3/25,3/30,4/4
1995,3/8,3/17,3/20,3/22,3/27,4/2
1994,3/8,3/20,3/25,3/29,4/1,4/5
1993,3/15,3/22,3/28,4/2,4/5,4/11
1992,3/7,3/15,3/23,3/31,4/1,4/5
